time_hrs	Fraction_of_injected_water_produced
75.3	0.66293
75.4	0.663115
75.5	0.663299
75.6	0.663484
75.7	0.663668
75.8	0.663851
75.9	0.664035
76	0.664218
76.1	0.664401
76.2	0.664583
76.3	0.664765
76.4	0.664947
76.5	0.665129
76.6	0.66531
76.7	0.665491
76.8	0.665672
76.9	0.665852
77	0.666032
77.1	0.666212
77.2	0.666392
77.3	0.666571
77.4	0.66675
77.5	0.666929
77.6	0.667107
77.7	0.667285
77.8	0.667463
77.9	0.667641
78	0.667818
78.1	0.667995
78.2	0.668172
78.3	0.668348
78.4	0.668524
78.5	0.6687
78.6	0.668876
78.7	0.669051
78.8	0.669226
78.9	0.669401
79	0.669575
79.1	0.669749
79.2	0.669923
79.3	0.670097
79.4	0.67027
79.5	0.670443
79.6	0.670616
79.7	0.670789
79.8	0.670961
79.9	0.671133
80	0.671305
80.1	0.671476
80.2	0.671647
80.3	0.671818
80.4	0.671989
80.5	0.67216
80.6	0.67233
80.7	0.6725
80.8	0.672669
80.9	0.672839
81	0.673008
81.1	0.673177
81.2	0.673345
81.3	0.673514
81.4	0.673682
81.5	0.673849
81.6	0.674017
81.7	0.674184
81.8	0.674351
81.9	0.674518
82	0.674685
82.1	0.674851
82.2	0.675017
82.3	0.675183
82.4	0.675348
82.5	0.675514
82.6	0.675679
82.7	0.675844
82.8	0.676008
82.9	0.676172
83	0.676337
83.1	0.6765
83.2	0.676664
83.3	0.676827
83.4	0.67699
83.5	0.677153
83.6	0.677316
83.7	0.677478
83.8	0.67764
83.9	0.677802
84	0.677964
84.1	0.678125
84.2	0.678286
84.3	0.678447
84.4	0.678608
84.5	0.678768
84.6	0.678929
84.7	0.679089
84.8	0.679248
84.9	0.679408
85	0.679567
85.1	0.679726
85.2	0.679885
85.3	0.680044
85.4	0.680202
85.5	0.68036
85.6	0.680518
85.7	0.680676
85.8	0.680833
85.9	0.68099
86	0.681147
86.1	0.681304
86.2	0.68146
86.3	0.681617
86.4	0.681773
86.5	0.681929
86.6	0.682084
86.7	0.68224
86.8	0.682395
86.9	0.68255
87	0.682704
87.1	0.682859
87.2	0.683013
87.3	0.683167
87.4	0.683321
87.5	0.683475
87.6	0.683628
87.7	0.683781
87.8	0.683934
87.9	0.684087
88	0.68424
88.1	0.684392
88.2	0.684544
88.3	0.684696
88.4	0.684848
88.5	0.684999
88.6	0.685151
88.7	0.685302
88.8	0.685452
88.9	0.685603
89	0.685754
89.1	0.685904
89.2	0.686054
89.3	0.686204
89.4	0.686353
89.5	0.686503
89.6	0.686652
89.7	0.686801
89.8	0.686949
89.9	0.687098
90	0.687246
90.1	0.687394
90.2	0.687542
90.3	0.68769
90.4	0.687838
90.5	0.687985
90.6	0.688132
90.7	0.688279
90.8	0.688426
90.9	0.688572
91	0.688719
91.1	0.688865
91.2	0.689011
91.3	0.689156
91.4	0.689302
91.5	0.689447
91.6	0.689592
91.7	0.689737
91.8	0.689882
91.9	0.690027
92	0.690171
92.1	0.690315
92.2	0.690459
92.3	0.690603
92.4	0.690747
92.5	0.69089
92.6	0.691033
92.7	0.691176
92.8	0.691319
92.9	0.691462
93	0.691604
93.1	0.691746
93.2	0.691888
93.3	0.69203
93.4	0.692172
93.5	0.692313
93.6	0.692455
93.7	0.692596
93.8	0.692737
93.9	0.692877
94	0.693018
94.1	0.693158
94.2	0.693298
94.3	0.693438
94.4	0.693578
94.5	0.693718
94.6	0.693857
94.7	0.693997
94.8	0.694136
94.9	0.694275
95	0.694413
95.1	0.694552
95.2	0.69469
95.3	0.694828
95.4	0.694966
95.5	0.695104
95.6	0.695242
95.7	0.695379
95.8	0.695517
95.9	0.695654
96	0.695791
96.1	0.695927
96.2	0.696064
96.3	0.6962
96.4	0.696337
96.5	0.696473
96.6	0.696609
96.7	0.696744
96.8	0.69688
96.9	0.697015
97	0.69715
97.1	0.697285
97.2	0.69742
97.3	0.697555
97.4	0.697689
97.5	0.697824
97.6	0.697958
97.7	0.698092
97.8	0.698226
97.9	0.698359
98	0.698493
98.1	0.698626
98.2	0.698759
98.3	0.698892
98.4	0.699025
98.5	0.699158
98.6	0.69929
98.7	0.699422
98.8	0.699555
98.9	0.699687
99	0.699818
99.1	0.69995
99.2	0.700081
99.3	0.700213
99.4	0.700344
99.5	0.700475
99.6	0.700606
99.7	0.700736
99.8	0.700867
99.9	0.700997
100	0.701127
