DATE	ELAPSED_TIME_DAYS	PROVINCE_STATE	CONFIRMED	DEATHS	RECOVERED	PEOPLE_TESTED	PEOPLE_HOSPITALIZED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE
2020-04-13 23:59:00	1	Hawaii	504	9	310.0	18844.0	44.0	35.59860035344325	1330.9921132148504	8.730158730158731
2020-04-13 23:59:00	1	Idaho	1426	27		14881.0	132.0	88.54409539415472	924.0004793551308	9.256661991584851
2020-04-13 23:59:00	1	Illinois	22025	798		105768.0	3680.0	187.6759648568341	901.2536413610727	16.708286038592508
2020-04-13 23:59:00	1	Indiana	8359	483		44539.0		127.7354471902022	680.6088147391332	
2020-04-13 23:59:00	1	Iowa	1710	41	741.0	18696.0	142.0	65.249418765046	713.3936451645029	8.304093567251464
2020-04-13 23:59:00	1	Kansas	1390	61		13864.0	309.0	57.00253599771662	568.549035303844	22.230215827338128
2020-04-13 23:59:00	1	Kentucky	2018	113	607.0	25866.0	667.0	58.948915710937655	755.5860524177965	33.052527254707634
2020-04-13 23:59:00	1	Louisiana	21016	884		108091.0	2134.0	457.1412661351334	2351.20177949242	10.154168252759805
2020-04-13 23:59:00	1	Maine	698	19	273.0	12306.0	124.0	59.45455133960132	1048.2058865116533	17.76504297994269
2020-04-13 23:59:00	1	Maryland	8936	262	603.0	51751.0	1975.0	150.3532949093396	870.7400811160737	22.10161145926589
2020-04-13 23:59:00	1	Massachusetts	26867	844		122049.0	2340.0	391.4319997808785	1778.1622116818567	8.709569360181638
2020-04-13 23:59:00	1	Michigan	25635	1602	447.0	82644.0	3986.0	321.7543197729608	1037.2952605155676	15.549054027696506
2020-04-13 23:59:00	1	Minnesota	1621	70	842.0	38427.0	361.0	32.771003666066505	776.8608006637493	22.27020357803825
2020-04-13 23:59:00	1	Mississippi	2942	98		30984.0	549.0	101.61625804865007	1070.1829161724588	18.66077498300476
2020-04-13 23:59:00	1	Missouri	4568	128		45428.0	988.0	77.05493479258142	775.2938156716256	21.882613510520486
2020-04-13 23:59:00	1	Montana	394	7	171.0	9098.0	47.0	45.497218780420496	1050.5931382341766	11.928934010152284
2020-04-13 23:59:00	1	Nebraska	814	17		10972.0		53.36753051259054	719.3471066144267	
2020-04-13 23:59:00	1	Nevada	2990	114		25464.0		99.1150254732245	844.1020095820031	
2020-04-13 23:59:00	1	New Hampshire	985	23	239.0	11207.0	152.0	74.16342154639392	843.8065637263318	15.431472081218276
2020-04-13 23:59:00	1	New Jersey	64584	2443		129469.0	7781.0	727.1179742833693	1457.624752454068	12.047875634832153
2020-04-13 23:59:00	1	New Mexico	1262	26	295.0	30515.0	80.0	75.68066119231223	1829.9487926175973	6.339144215530904
2020-04-13 23:59:00	1	New York	195749	10026	23887.0	478357.0	42712.0	1160.9555172357552	2837.057652188998	21.819779411389074
2020-04-13 23:59:00	1	North Carolina	4886	94		63388.0	313.0	49.264585407660405	639.1288456448584	6.406058125255831
2020-04-13 23:59:00	1	North Dakota	331	8	127.0	10781.0	40.0	54.58281251545964	1777.8166215382792	12.084592145015106
2020-04-13 23:59:00	1	Northern Mariana Islands	11	2		38.0		19.947773103148123	68.91048890178442	
2020-04-13 23:59:00	1	Ohio	6975	399		65112.0	2033.0	62.422475312917825	582.7171630931477	29.14695340501792
2020-04-13 23:59:00	1	Oklahoma	2069	99	865.0	22859.0	457.0	56.566622029432146	624.9668501550457	22.087965200579987
2020-04-13 23:59:00	1	Oregon	1584	53		31121.0	369.0	39.530091034006354	776.6514918366867	23.29545454545455
2020-04-13 23:59:00	1	Pennsylvania	24336	610		134868.0	2243.0	192.985150264584	1031.1184185386498	9.233492507821506
2020-04-13 23:59:00	1	Puerto Rico	903	45		11165.0		30.783307333995136	349.59517098382	
2020-04-13 23:59:00	1	Rhode Island	2665	100	135.0	20661.0	331.0	251.56674636880157	1950.3266591841686	12.420262664165106
2020-04-13 23:59:00	1	South Carolina	3391	82		31425.0	496.0	67.2820797722211	623.514997594234	14.626953700973164
2020-04-13 23:59:00	1	South Dakota	868	6	207.0	9002.0	44.0	117.95209079593201	1223.2773287384562	5.0691244239631335
2020-04-13 23:59:00	1	Tennessee	5610	109	1671.0	76195.0	579.0	85.45408488043054	1160.6370761968635	10.320855614973262
2020-04-13 23:59:00	1	Texas	14328	337	2269.0	133226.0	1176.0	62.106907327923295	579.6325629190828	8.238178633975481
2020-04-13 23:59:00	1	Utah	2363	13	218.0	45787.0	201.0	82.45280161569806	1597.6582427329529	8.506136267456624
2020-04-13 23:59:00	1	Vermont	748	28	15.0	10366.0	33.0	122.50426226393772	1697.699442016014	4.411764705882354
2020-04-13 23:59:00	1	Virgin Islands	51	1	43.0	373.0		47.5444680613044	347.7271879777754	
2020-04-13 23:59:00	1	Virginia	5747	149		41401.0	1238.0	72.68031915095425	523.5841122618161	21.541673916826173
2020-04-13 23:59:00	1	Washington	10635	582		93802.0	527.0	140.8720663077597	1242.5088447391138	4.955336154207805
